,raceId,driverId,stop,lap,time,duration,milliseconds,constructors,seconds,points
3096,971,20,2,33,1,24.314,24314,Renault,24.314,1777.0
3097,971,828,1,33,1,25.576,25576,Ferrari,25.576,8558.5
3098,971,815,2,36,1,24.630,24630,Renault,24.63,1777.0
3099,971,8,2,37,1,25.856,25856,Red Bull,25.856,5329.5
3100,971,839,2,37,1,24.505,24505,Williams,24.505,3567.0
3101,971,835,2,37,1,26.420,26420,Red Bull,26.42,5329.5
3102,971,1,2,41,1,30.682,30682,Force India,30.682,1098.0
3103,971,826,2,41,1,25.246,25246,Ferrari,25.246,8558.5
3104,972,838,1,1,1,30.006,30006,Force India,30.006,1098.0
3105,972,828,1,1,1,32.235,32235,Red Bull,32.235,5329.5
3106,972,836,1,2,1,31.266,31266,Ferrari,31.266,8558.5
3107,972,836,2,20,1,30.799,30799,Ferrari,30.799,8558.5
3108,972,825,1,21,1,36.559,36559,McLaren,36.559,5795.5
3109,972,826,1,21,1,29.991,29991,Mercedes,29.991,5927.0
3110,972,828,2,21,1,30.655,30655,Red Bull,30.655,5329.5
3111,972,832,1,24,1,29.973,29973,Williams,29.973,3567.0
3112,972,838,2,24,1,35.998,35998,Force India,35.998,1098.0
3113,972,839,1,26,1,30.253,30253,Renault,30.253,1777.0
3114,972,840,1,26,1,29.791,29791,Williams,29.791,3567.0
3115,972,822,1,27,1,29.356,29356,Williams,29.356,3567.0
3116,972,830,1,29,1,29.567,29567,Red Bull,29.567,5329.5
3117,973,826,1,1,1,22.235,22235,Williams,22.235,3567.0
3118,973,835,1,2,1,23.159,23159,Ferrari,23.159,8558.5
3119,973,4,1,12,1,22.690,22690,Renault,22.69,1777.0
3120,973,840,1,12,1,22.100,22100,Mercedes,22.1,5927.0
3121,973,838,1,12,1,22.547,22547,Force India,22.547,1098.0
3122,973,825,1,13,1,22.703,22703,McLaren,22.703,5795.5
3123,973,13,2,13,1,22.292,22292,Red Bull,22.292,5329.5
3124,973,807,1,15,1,22.490,22490,Renault,22.49,1777.0
3125,973,839,1,16,1,22.616,22616,Ferrari,22.616,8558.5
3126,973,815,1,18,1,25.082,25082,Red Bull,25.082,5329.5
3127,973,828,1,18,1,22.995,22995,Ferrari,22.995,8558.5
3128,973,154,1,19,1,22.866,22866,Mercedes,22.866,5927.0
3129,973,835,2,21,1,22.762,22762,Ferrari,22.762,8558.5
3130,973,822,1,26,1,21.689,21689,Force India,21.689,1098.0
3131,973,4,2,31,1,23.354,23354,Renault,23.354,1777.0
3132,973,828,2,32,1,22.775,22775,Ferrari,22.775,8558.5
3133,973,836,1,33,1,23.445,23445,Williams,23.445,3567.0
3134,973,807,2,33,1,22.362,22362,Renault,22.362,1777.0
3135,973,825,2,33,1,23.814,23814,McLaren,23.814,5795.5
3136,973,826,2,33,1,22.117,22117,Williams,22.117,3567.0
3137,973,840,2,33,1,22.071,22071,Mercedes,22.071,5927.0
3138,973,13,3,33,1,23.066,23066,Red Bull,23.066,5329.5
